company,runner_count
Kreissparkasse Köln,89
Hitradio antenne 1 Running Club,89
DERNBACHER GRUPPE KATHARINA KASPER,89
Autobahn GmbH des Bundes,88
Kirche in Bewegung,88
Clarios Germany Holding GmbH,88
DFKI,87
Rödl & Partner,87
IKB Deutsche Industriebank AG,87
Dassault Systemes,87
GetYourGuide Team,86
MTU Maintenance Berlin-Brandenburg,86
HSBC Deutschland,85
Hubert Burda Media,85
RPTU,85
Uniper GmbH,85
Pfeifer und Langen GmbH & Co. KG,85
Handelsblatt Media Group,85
Team LWL,85
GOLDBECK,84
Unternehmensgruppe Schwabe,84
Sparkasse Koblenz,84
D51 : Operations & Prozessmanagement,84
Valeo eAutomotive Germany GmbH,84
DORNBACH GmbH,84
CARIAD SE,84
TDK-Micronas GmbH,83
Caritas Betriebs- & Werkstätten GmbH,83
MEAG,83
Apleona,83
NürnbergMesse,83
Caritas Bottrop,83
Lear Corporation Engineering GmbH,83
D.Runners,83
SRCAB,82
IT.NRW,82
Badische Neueste Nachrichten,82
Deutsche Glasfaser,82
Landesforsten Rheinland-Pfalz,82
Ernst & Young GmbH,81
KPMG AG,81
STAEDTLER SE,81
TOMRA Sorting,81
DMK Deutsches Milchkontor GmbH,81
Rud. Otto Meyer Technik GmbH & Co. K,80
Innenbehörde,80
Münchner Wohnen,80
Team Zoar,80
TCS,80
VGV Enkenbach-Alsenborn,80
IQVIA,80
Schindler,80
VINCI Deutschland,79
Sana Kliniken,79
Autobahn GmbH,79
PricewaterhouseCoopers GmbH WPG,79
Koelnmesse GmbH,79
ASMPT,78
Hannover 96,78
Bahlsen GmbH & Co. KG,78
PRODATO,78
Sander,78
KPMG AG WPG,78
BwBM,77
QIAGEN GmbH,77
TEDi GmbH & Co. KG,76
SPIE GmbH,76
GLOBUS,76
Bundesdruckerei GmbH,76
Samsung,76
AWO Saarland #teamherz,76
thyssenkrupp Rasselstein GmbH,76
parcIT,76
LTS AG,76
Bremer Straßenbahn AG,75
VBL-Team,74
mkk - meine krankenkasse,74
Clarenbachwerk Köln,74
Ampli RUNS,74
Microsoft,74
BCD Travel Germany,73
Swiss Life Asset Managers,73
Osborne Clarke #teamtomorrow,73
EOS GmbH Electro Optical Systems,73
TDK,73
IKEA Dortmund,72
Pro Seniore,72
Alois Dallmayr,72
Helaba,72
e.solutions GmbH,72
Vantage Towers AG,72
Stadtverwaltung,72
L-Bank,72
EY,72
Lohmann & Rauscher,72
ETL-Gruppe,72
AUMA,71
LWL-Klinik Dortmund,71
IngenieurGruppe Bauen,71
Hoffmann Group,71
DRK Kliniken Berlin,70
TNG Technology Consulting,70
LVR-Klinikum Düsseldorf,70
PwC Köln,70
NORMA,70
GEA Group Aktiengesellschaft,70
wbg Nürnberg GmbH Immobilien,69
HERMETIC-Pumpen GmbH,69
Team KJSW,69
Mecklenburgische Versicherungs-Gesel,69
Haleon,69
Zeppelin GmbH,69
SPITZKE SE,69
Volkswohl Bund,69
Outokumpu Nirosta GmbH,68
EPG - Ehrhardt Partner Group,68
#TeamMADSACK,68
MLL Münchner Leukämielabor GmbH,67
Team BD Angiomed,67
Löwenstein Medical Technology,67
DRESO - MACHEN DÜRFEN,67
NKT,67
PAW,67
Feser-Graf Gruppe,67
1&1 Versatel,67
TESTO - Be Sure!,66
EDG Entsorgung Dortmund GmbH,66
Mars GmbH,66
Birkenstock,66
INIT,66
Nokia Solutions and Networks,65
Teampower Norma,65
Team St. Elisabeth Klinik,65
Celonis Gladiators,65
Allgemeiner Hochschulsport,65
YNCORIS,65
KIRINUS Health GmbH,64
Hellmann Worldwide Logistics,64
maxon,64
Amphenol,64
Amazon HAJ8,64
Klosterfrau Group - Running Team,64
Boston Scientific,64
Süddeutsche Zeitung,64
Becker Büttner Held,64
BWI GmbH,64
BESTSECRET,63
RI Research Instruments,63
KRIEGER seit 1802,63
INTUITIVE,63
Fraunhofer ITWM,63
Hermès,63
Diakonie Düsseldorf Runners,63
De Lage Landen Leasing GmbH,63
Messe Düsseldorf GmbH,62
Going Beyond,62
Die Barbos,62
RSM Ebner Stolz,62
CANCOM GmbH,62
Jobcenter Gelsenkirchen,62
Maschinenfabrik Niehoff GmbH&Co. KG,62
WERTGARANTIE Group,62
Arla Foods Deutschland GmbH,62
Max-Planck-Gesellschaft,62
BLD,61
Atlas Copco Energas GmbH,61
Vinci,61
DKMS,61
SELLWERK,61
DLA Piper,61
Hochschule Karlsruhe,61
ADAC,61
Ziehm Team,61
ÜSTRA AG,60
EDAG Engineering GmbH,60
Arvato,60
DIAKO Runners,60
FUJIFILM Europe GmbH,60
CTS EVENTIM,60
DRK-Landesverband Saarland e.V.,60
Hengeler Mueller,60
Baker Tilly,60
Grant Thornton,60
Nagarro,60
Swiss Life Sportclub,60
HENSOLDT,59
Team Loretto & St. Josefs,59
TROESTER GmbH & Co. KG,59
Scalable Capital,59
PD - Berater der öffentlichen Hand,59
Medtronic - Mission in Motion,59
SMP Deutschland GmbH,58
Elmos SE,58
Fr. Fassmer GmbH & Co. KG,58
Team Erler,58
ctt-Altenhilfe,58
beeline GmbH,58
Team Autobahn,58
BBBank runners,58
FC-Gruppe,58
Raisineers,58
TeamBank AG,58
Team CGN,57
epay Team,57
Schule am Römerkastell,57
Leybold GmbH,57
weisenburger bau GmbH,57
Marriott International,57
1. FC Köln,57
Borussia Dortmund GmbH & Co. KGaA,56
Malteser Zentrale,56
RMF,56
CHECK24 Vergleichsportal,56
LEG Management GmbH,56
Team Senacor,56
Ecolab und Nalco Deutschland,56
Rockwell Automation,56
Carl Roth,55
Stadtwerke Gelsenkirchen,55
Hogan Lovells,55
EGYM Wellpass,55
Pfizer Freiburg,55
FEV FeelEVolution,55
STEINERT GmbH,55
Team HWS,55
Solventum Germany,55
Maschinenbau Kaltenbach,55
MÄUSSE,55
Powerade,55
ZETCON Ingenieure GmbH,54
BASt ... läuft,54
duagon Germany GmbH,54
Griesemann Gruppe,54
Landkreis Saarlouis,54
Debeka Krankenversicherung VVaG,54
Schalke 04 e.V. Fan-Block,54
Jakob Becker-Team,54
Lenovo Financial Services,54
expert Warenvertrieb GmbH,54
GERL.,54
Stiftung Wadentest,54
Thermo Fisher Scientific,53
DRK-Region Hannover e.V.,53
Unsere Grüne Glasfaser,53
OMG läuft,53
TIMETOACT GROUP,53
KOB GmbH,52
Zschimmer & Schwarz,52
Frohne Gruppe,52
W+ST,52
Trianel GmbH,52
LEONI Kabel runners,52
ASB Köln,52
Herrmann Ultraschalltechnik,52
Sozialverband VdK Bayern,52
Bird & Bird LLP,52
Stadtmission Nürnberg e.V.,52
Marien-Hospital Euskirchen GmbH,52
Klinik Lilienthal,52
GRAF (t)raining Group,52
Züblin / Strabag,52
rhenag Rheinische Energie AG,52
tonies GmbH,51
Freie Hansestadt Bremen,51
LöhrGruppe,51
Jungheinrich Vertrieb Deutschland,51
MD Nordrhein,51
Serviceplan,51
Selbstläufer,51
DRK Krankenhaus GmbH Saarland,51
itestra,51
Testo Industrial Services GmbH,51
Intersnack Deutschland SE,51
HENSOLDT Sensors GmbH,51
Amprion,51
MUNSCH Chemie-Pumpen,51
ROTOX,51
Schwan-STABILO,50
Schwarzwaldmilch,50
aktiv@Diakonie Rosenheim,50
Max² - Laufende Forschung,50
Augustinum,50
HARIBO,50
dwpbank,50
WWK,50
Renesas,50
GAFFEL LAUFFREUNDE,50
CMS Hasche Sigle,50
Stadt Aachen,50
FunRunners Volksbank Freiburg eG,50
Dehmer & Partner,50
CHARLOTTE : bewegt,50
QVC Handel S.à r.l. & Co. KG,50
WHUG,50
Sweco,49
Dr. Güldener Gruppe,49
Rhein-Maas Klinikum,49
Ranger Runimals,49
Dr. Falk Pharma GmbH,49
#TeamMaterna,49
ONE SPIE,49
Ministerium des Innern NRW,49
LANCOM Systems GmbH,49
YPOG,49
dm-drogeriemarkt,49
Breuer GmbH & Co.KG,49
PKV-Verband e.V.,49
dm-drogerie markt,49
LITEF,49
Anheuser - Busch Inbev,49
Gasunie,49
TK Aufzüge GmbH,49
Sennheiser electronic SE & Co. KG,49
BBV läuft,49
Lohmann GmbH & Co. KG,49
NTT Data Deutschland,49
AWO Freiburg,49
ERGO Group AG,48
IKEA Kaiserslautern,48
Crown Gabelstapler GmbH & Co.KG,48
Eurovia Bau,48
DocCheck,48
Bruker,48
Airport Nürnberg,48
Gartenstadt Karlsruhe,48
