year,fitnessdax_rank,fitness_score,fitness_score_100,matched_company,ticker,index,sector,cluster,participants,germany_employees_estimate,participation_rate,participation_rate_pct,participation_rate_rank,races_entered,top_20_pace,top_20_pace_formatted,top_20_pace_rank,median_pace,median_pace_formatted,median_pace_rank,average_pace_formatted,fastest_pace_formatted,slowest_pace_formatted,participation_multiple,participation_multiple_rank,yearly_return_pct
2024,52.0,0.214,21.4,Commerzbank,CBK.DE,DAX,Finance,Corporate Marathoners,57.0,29000.0,0.0019655172413793,0.2,52.0,5.0,4.497076023391813,4:30/km,23.0,5.824269005847953,5:49/km,41.0,5:47/km,3:45/km,7:22/km,0.301,42.0,45.53
2024,37.0,0.3445,34.4,Continental,CON.DE,DAX,Automotive,Factory Endurance,333.0,32000.0,0.01040625,1.04,36.0,11.0,4.533050847457627,4:32/km,27.0,5.680999999999999,5:41/km,29.0,6:02/km,3:28/km,11:32/km,0.444,11.0,-13.31
2024,16.0,0.6778,67.8,Covestro,1COV.DE,DAX,Chemicals,Factory Endurance,273.0,8000.0,0.034125,3.41,17.0,1.0,4.8116666666666665,4:49/km,50.0,5.665666666666667,5:40/km,27.0,5:54/km,3:44/km,11:19/km,0.43,14.0,
2024,8.0,0.8798,88.0,DEUTZ,DEZ.DE,SDAX,Industrials,Heavy Industry,267.0,4200.0,0.0635714285714285,6.36,5.0,1.0,4.7905,4:47/km,48.0,5.902666666666667,5:54/km,47.0,6:25/km,3:38/km,15:03/km,0.411,23.0,-14.69
2024,,,,Dermapharm,DMP.DE,,,,,,,,,,,,,,,,,,,,,-7.4
2024,56.0,0.2008,20.1,Deutsche Bank,DBK.DE,DAX,Finance,Corporate Marathoners,66.0,38000.0,0.0017368421052631,0.17,55.0,4.0,4.751912568306011,4:45/km,46.0,5.941166666666668,5:56/km,48.0,6:00/km,3:56/km,8:43/km,0.306,41.0,37.21
2024,47.0,0.2512,25.1,Deutsche Lufthansa,LHA.DE,MDAX,Logistics,Mobility Machines,18.0,66000.0,0.0002727272727272,0.03,60.0,1.0,4.599255952380952,4:36/km,33.0,5.113690476190477,5:07/km,8.0,5:20/km,4:15/km,6:53/km,0.245,50.0,
2024,55.0,0.2079,20.8,Deutsche Post,DHL.DE,DAX,Logistics,Corporate Marathoners,355.0,190000.0,0.0018684210526315,0.19,53.0,9.0,4.70327868852459,4:42/km,45.0,5.87953216374269,5:53/km,46.0,6:02/km,3:02/km,10:54/km,0.434,12.0,-20.64
2024,50.0,0.2254,22.5,Deutsche Telekom,DTE.DE,DAX,Telecom,Connected Operators,205.0,74550.0,0.0027498323272971,0.27,48.0,4.0,4.610655737704918,4:37/km,34.0,5.8199453551912566,5:49/km,40.0,6:00/km,3:44/km,10:43/km,0.397,27.0,36.64
2024,44.0,0.2768,27.7,E.ON,EOAN.DE,DAX,Energy,Grid Operators,150.0,47000.0,0.0031914893617021,0.32,45.0,4.0,4.314678362573099,4:19/km,16.0,5.2914102564102565,5:17/km,12.0,5:33/km,3:30/km,8:41/km,0.411,22.0,-3.95
2024,14.0,0.8096,81.0,Elmos Semiconductor,ELG.DE,SDAX,Technology,Precision Engineers,60.0,1400.0,0.0428571428571428,4.29,14.0,1.0,4.354943502824859,4:21/km,17.0,5.554237288135593,5:33/km,18.0,5:38/km,3:39/km,9:36/km,0.32,40.0,-3.04
2024,54.0,0.2093,20.9,EnBW,EBK.DE,Other,Energy,Grid Operators,28.0,28000.0,0.001,0.1,56.0,3.0,4.887134502923977,4:53/km,52.0,5.721453216374268,5:43/km,32.0,6:00/km,4:31/km,8:32/km,0.253,49.0,-21.89
2024,,,,Evonik,EVK.DE,,,,,,,,,,,,,,,,,,,,,-3.69
2024,41.0,0.2966,29.7,Freenet,FNTN.DE,MDAX,Telecom,Connected Operators,10.0,3500.0,0.0028571428571428,0.29,47.0,2.0,4.440643274853802,4:26/km,21.0,5.00672514619883,5:00/km,6.0,5:13/km,4:26/km,6:44/km,0.2,58.0,
2024,59.0,0.1481,14.8,Fresenius,FRE.DE,DAX,Healthcare,Care Providers,51.0,85000.0,0.0006,0.06,58.0,2.0,5.186999999999999,5:11/km,59.0,6.370666666666667,6:22/km,57.0,6:37/km,4:36/km,12:00/km,0.268,46.0,15.37
2024,23.0,0.5847,58.5,GEA,G1A.DE,MDAX,Industrials,Engineering Giants,170.0,6000.0,0.0283333333333333,2.83,22.0,6.0,4.5593055555555555,4:34/km,30.0,5.805782163742689,5:48/km,36.0,5:57/km,3:36/km,10:52/km,0.384,29.0,33.34
2024,42.0,0.2963,29.6,Gerresheimer,GXI.DE,MDAX,Healthcare,Precision Engineers,20.0,3000.0,0.0066666666666666,0.67,40.0,1.0,3.930833333333333,3:56/km,2.0,5.632222222222222,5:38/km,24.0,5:42/km,3:42/km,8:57/km,0.231,52.0,-22.5
2024,48.0,0.2486,24.9,HelloFresh,HFG.DE,MDAX,Consumer,Digital Hustlers,27.0,3500.0,0.0077142857142857,0.77,38.0,1.0,5.412638888888889,5:25/km,60.0,6.359999999999999,6:22/km,56.0,6:50/km,4:27/km,11:08/km,0.225,54.0,-11.3
2024,27.0,0.5383,53.8,Henkel,HEN3.DE,DAX,Consumer,Consumer Lifestyle,209.0,9000.0,0.0232222222222222,2.32,28.0,1.0,4.550833333333333,4:33/km,29.0,5.512222222222223,5:31/km,16.0,5:43/km,3:29/km,11:35/km,0.421,17.0,18.13
2024,60.0,0.1309,13.1,Hochtief,HOT.DE,MDAX,Industrials,Infrastructure Operators,19.0,5000.0,0.0038,0.38,42.0,2.0,4.795384615384615,4:48/km,49.0,7.0929824561403505,7:06/km,60.0,6:25/km,4:23/km,7:07/km,0.18,60.0,33.36
2024,40.0,0.2985,29.9,Infineon,IFX.DE,DAX,Technology,Precision Engineers,46.0,15000.0,0.0030666666666666,0.31,46.0,2.0,4.273538011695907,4:16/km,12.0,5.01798245614035,5:01/km,7.0,5:25/km,3:28/km,8:53/km,0.331,37.0,-14.37
2024,28.0,0.5352,53.5,Knorr-Bremse,KBX.DE,DAX,Industrials,Engineering Giants,117.0,6000.0,0.0195,1.95,32.0,1.0,4.187426900584795,4:11/km,9.0,4.941520467836257,4:56/km,5.0,5:11/km,3:20/km,8:41/km,0.419,19.0,21.4
2024,6.0,0.8834,88.3,LPKF Laser & Electronics,LPK.DE,SDAX,Technology,Precision Engineers,37.0,700.0,0.0528571428571428,5.29,9.0,1.0,5.046025641025641,5:03/km,55.0,5.86051282051282,5:52/km,44.0,6:08/km,4:35/km,10:09/km,0.268,47.0,-9.88
2024,7.0,0.8801,88.0,MTU Aero Engines,MTX.DE,DAX,Industrials,Precision Engineers,441.0,10000.0,0.0441,4.41,13.0,2.0,4.044152046783625,4:03/km,4.0,4.935384615384615,4:56/km,4.0,5:06/km,3:11/km,8:23/km,0.536,6.0,66.54
2024,49.0,0.2325,23.3,Mercedes-Benz,MBG.DE,DAX,Automotive,Mobility Machines,216.0,90000.0,0.0024,0.24,49.0,4.0,4.663583333333333,4:40/km,39.0,5.679027777777778,5:41/km,28.0,5:58/km,3:47/km,10:42/km,0.411,24.0,-8.43
2024,57.0,0.1924,19.2,Merck,MRK.DE,DAX,Healthcare,Precision Engineers,24.0,13000.0,0.0018461538461538,0.18,54.0,4.0,4.646783625730994,4:39/km,38.0,6.057333333333334,6:03/km,51.0,6:09/km,4:28/km,9:09/km,0.228,53.0,-0.45
2024,36.0,0.348,34.8,Munich Re,MUV2.DE,DAX,Finance,Corporate Marathoners,205.0,28000.0,0.0073214285714285,0.73,39.0,1.0,4.142690058479532,4:09/km,7.0,5.135964912280701,5:08/km,9.0,5:21/km,3:19/km,10:05/km,0.45,10.0,35.29
2024,13.0,0.8157,81.6,OVB Holding,O4B.DE,Other,Finance,Corporate Marathoners,21.0,250.0,0.084,8.4,4.0,1.0,5.078,5:05/km,57.0,6.649666666666667,6:39/km,59.0,6:59/km,4:14/km,12:14/km,0.199,59.0,11.05
2024,2.0,0.907,90.7,Puma,PUM.DE,MDAX,Consumer,Consumer Lifestyle,113.0,2000.0,0.0565,5.65,7.0,1.0,4.259016393442623,4:16/km,10.0,5.584426229508198,5:35/km,22.0,5:35/km,3:19/km,9:39/km,0.368,32.0,-9.26
2024,20.0,0.6313,63.1,Qiagen,QIA.DE,DAX,Healthcare,Precision Engineers,80.0,2500.0,0.032,3.2,20.0,1.0,4.500694444444444,4:30/km,24.0,5.861805555555555,5:52/km,45.0,6:12/km,3:59/km,10:24/km,0.325,38.0,8.38
2024,38.0,0.3244,32.4,RTL Group,RRTL.DE,MDAX,Media,Content Machines,98.0,8000.0,0.01225,1.23,35.0,2.0,4.910166666666667,4:55/km,53.0,6.215666666666667,6:13/km,53.0,6:07/km,4:10/km,8:00/km,0.32,39.0,-17.61
2024,29.0,0.5346,53.5,RWE,RWE.DE,DAX,Energy,Grid Operators,272.0,11000.0,0.0247272727272727,2.47,26.0,10.0,4.645666666666667,4:39/km,37.0,5.8015,5:48/km,35.0,6:05/km,3:45/km,10:26/km,0.42,18.0,-28.3
2024,35.0,0.3857,38.6,Rheinmetall,RHM.DE,DAX,Industrials,Heavy Industry,206.0,16000.0,0.012875,1.29,34.0,3.0,4.671732456140351,4:40/km,40.0,5.603611111111111,5:36/km,23.0,5:52/km,3:30/km,10:27/km,0.413,21.0,108.77
2024,39.0,0.318,31.8,SAP,SAP.DE,DAX,Technology,Office Athletes,153.0,25000.0,0.00612,0.61,41.0,3.0,4.307017543859649,4:18/km,15.0,5.289473684210526,5:17/km,11.0,5:32/km,3:38/km,10:38/km,0.413,20.0,74.23
2024,53.0,0.2117,21.2,Sartorius,SRT3.DE,DAX,Healthcare,Precision Engineers,18.0,5500.0,0.0032727272727272,0.33,44.0,1.0,5.083333333333333,5:05/km,58.0,6.064166666666667,6:04/km,52.0,6:20/km,5:02/km,9:02/km,0.207,56.0,
2024,,,,Schaeffler,SHA0.DE,,,,,,,,,,,,,,,,,,,,,-19.57
2024,1.0,0.9121,91.2,Siemens,SIE.DE,DAX,Industrials,Engineering Giants,4600.0,86000.0,0.0534883720930232,5.35,8.0,14.0,4.4024182724570995,4:24/km,19.0,5.525433803086952,5:32/km,17.0,5:45/km,3:04/km,12:12/km,0.663,1.0,16.15
2024,10.0,0.8643,86.4,Siemens Energy,ENR.DE,DAX,Energy,Engineering Giants,1289.0,27000.0,0.0477407407407407,4.77,11.0,7.0,4.532096635030198,4:32/km,26.0,5.713661202185793,5:43/km,31.0,5:58/km,3:12/km,11:45/km,0.544,5.0,321.37
