year,fitnessdax_rank,fitness_score,fitness_score_100,matched_company,ticker,index,sector,cluster,participants,germany_employees_estimate,participation_rate,participation_rate_pct,participation_rate_rank,races_entered,top_20_pace,top_20_pace_formatted,top_20_pace_rank,median_pace,median_pace_formatted,median_pace_rank,average_pace_formatted,fastest_pace_formatted,slowest_pace_formatted,culture_score,culture_score_rank
2023,25,0.3231,32.3,Wacker Chemie,WCH.DE,MDAX,Chemicals,Factory Endurance,98,10657,0.009195833724312659,0.92,25,1,4.393567251461988,4:24/km,7,5.732163742690059,5:44/km,11,5:58/km,3:11/km,11:26/km,0.347,19
2023,26,0.3156,31.6,Dermapharm,DMP.DE,SDAX,Healthcare,Care Providers,16,2000,0.008,0.8,27,1,4.418274853801169,4:25/km,8,5.625,5:38/km,9,5:48/km,4:18/km,7:42/km,0.214,38
2023,27,0.2999,30.0,RWE,RWE.DE,DAX,Energy,Grid Operators,85,11000,0.007727272727272728,0.77,28,4,4.751572327044025,4:45/km,21,5.763,5:46/km,15,5:57/km,3:08/km,9:18/km,0.335,21
2023,28,0.2707,27.1,Uniper,UN0.DE,SDAX,Energy,Grid Operators,43,5000,0.0086,0.86,26,1,5.143333333333333,5:09/km,40,6.246666666666667,6:15/km,34,6:29/km,3:51/km,9:40/km,0.261,30
2023,29,0.254,25.4,Commerzbank,CBK.DE,DAX,Finance,Corporate Marathoners,16,29000,0.0005517241379310345,0.06,41,2,3.6815476190476195,3:41/km,2,5.126488095238096,5:08/km,3,4:49/km,3:28/km,5:41/km,0.235,35
2023,30,0.2487,24.9,CANCOM,COK.DE,SDAX,Technology,Office Athletes,26,4000,0.0065,0.65,29,2,5.194166666666666,5:12/km,41,6.160666666666667,6:10/km,33,6:20/km,4:47/km,10:09/km,0.23,36
2023,31,0.2443,24.4,Deutsche Telekom,DTE.DE,DAX,Telecom,Connected Operators,332,74550,0.004453386988598256,0.45,31,4,4.612021857923497,4:37/km,14,5.87719298245614,5:53/km,20,6:08/km,3:23/km,10:41/km,0.429,7
2023,32,0.2191,21.9,Continental,CON.DE,DAX,Automotive,Factory Endurance,114,32000,0.0035625,0.36,32,6,4.557377049180328,4:33/km,12,6.0253907103825135,6:02/km,27,6:30/km,3:36/km,12:28/km,0.341,20
2023,33,0.2121,21.2,thyssenkrupp,TKA.DE,MDAX,Industrials,Heavy Industry,18,48000,0.000375,0.04,42,3,4.482142857142858,4:29/km,9,5.587280701754386,5:35/km,8,5:34/km,4:20/km,7:22/km,0.225,37
2023,34,0.2091,20.9,SAP,SAP.DE,DAX,Technology,Office Athletes,87,25000,0.00348,0.35,33,4,4.8453216374269,4:51/km,27,6.128654970760233,6:08/km,31,6:18/km,4:15/km,10:56/km,0.316,24
2023,35,0.2029,20.3,E.ON,EOAN.DE,DAX,Energy,Grid Operators,83,47000,0.0017659574468085106,0.18,36,2,4.63421052631579,4:38/km,17,5.921345029239766,5:55/km,22,6:06/km,3:59/km,9:21/km,0.324,23
2023,36,0.1947,19.5,Mercedes-Benz,MBG.DE,DAX,Automotive,Mobility Machines,13,90000,0.00014444444444444444,0.01,43,1,4.851461988304093,4:51/km,29,5.752046783625731,5:45/km,14,5:51/km,4:40/km,7:16/km,0.194,40
2023,37,0.1875,18.8,Deutsche Post,DHL.DE,DAX,Logistics,Corporate Marathoners,204,190000,0.0010736842105263159,0.11,39,4,4.747953216374269,4:45/km,20,5.987633879781421,5:59/km,26,6:07/km,2:51/km,9:29/km,0.386,15
2023,38,0.1819,18.2,Rheinmetall,RHM.DE,DAX,Industrials,Heavy Industry,41,16000,0.0025625,0.26,34,1,4.950584795321637,4:57/km,33,6.296783625730994,6:18/km,35,6:37/km,4:24/km,9:49/km,0.256,31
2023,39,0.1705,17.1,Volkswagen,VOW3.DE,DAX,Automotive,Mobility Machines,30,293338,0.0001022711002324963,0.01,44,1,4.848976608187134,4:51/km,28,6.02704678362573,6:02/km,28,6:10/km,4:37/km,9:16/km,0.245,33
2023,40,0.1588,15.9,EnBW,EBK.DE,Other,Energy,Grid Operators,32,28000,0.001142857142857143,0.11,38,2,5.244444444444444,5:15/km,42,6.333833333333333,6:20/km,38,6:23/km,4:24/km,8:18/km,0.238,34
2023,41,0.1475,14.8,Merck,MRK.DE,DAX,Healthcare,Precision Engineers,16,13000,0.0012307692307692308,0.12,37,1,4.989181286549707,4:59/km,35,6.479824561403509,6:29/km,39,6:23/km,4:38/km,8:30/km,0.186,42
2023,42,0.1105,11.1,Vonovia,VNA.DE,DAX,Real Estate,Infrastructure Operators,23,12000,0.0019166666666666666,0.19,35,1,5.0134502923976605,5:01/km,37,7.023684210526315,7:01/km,41,7:09/km,4:05/km,9:08/km,0.194,39
2023,43,0.0812,8.1,Hochtief,HOT.DE,MDAX,Industrials,Infrastructure Operators,29,5000,0.0058,0.58,30,1,5.716520467836257,5:43/km,44,8.289473684210526,8:17/km,44,7:53/km,4:42/km,9:13/km,0.176,44
2023,44,0.0626,6.3,Fresenius,FRE.DE,DAX,Healthcare,Care Providers,66,85000,0.0007764705882352942,0.08,40,2,5.4315,5:26/km,43,7.396999999999999,7:24/km,43,8:05/km,4:33/km,14:07/km,0.246,32
2024,1,0.9121,91.2,Siemens,SIE.DE,DAX,Industrials,Engineering Giants,4600,86000,0.053488372093023255,5.35,8,14,4.4024182724570995,4:24/km,19,5.525433803086952,5:32/km,17,5:45/km,3:04/km,12:12/km,0.663,1
2024,2,0.907,90.7,Puma,PUM.DE,MDAX,Consumer,Consumer Lifestyle,113,2000,0.0565,5.65,7,1,4.259016393442623,4:16/km,10,5.584426229508198,5:35/km,22,5:35/km,3:19/km,9:39/km,0.368,32
2024,3,0.8983,89.8,Villeroy & Boch,VIB3.DE,SDAX,Consumer,Consumer Lifestyle,125,2000,0.0625,6.25,6,1,4.572955974842768,4:34/km,32,5.686163522012579,5:41/km,30,5:57/km,3:35/km,10:47/km,0.369,31
2024,4,0.8912,89.1,UmweltBank,UBK.DE,Other,Finance,Sustainable Finance,39,350,0.11142857142857143,11.14,3,1,4.976092896174864,4:59/km,54,5.7688524590163945,5:46/km,34,6:00/km,4:18/km,8:49/km,0.276,44
2024,5,0.8859,88.6,TeamViewer,TMV.DE,MDAX,Technology,Office Athletes,108,700,0.15428571428571428,15.43,1,4,4.628833333333334,4:38/km,35,5.831333333333333,5:50/km,42,6:17/km,3:14/km,11:40/km,0.349,33
2024,6,0.8834,88.3,LPKF Laser & Electronics,LPK.DE,SDAX,Technology,Precision Engineers,37,700,0.05285714285714286,5.29,9,1,5.046025641025641,5:03/km,55,5.86051282051282,5:52/km,44,6:08/km,4:35/km,10:09/km,0.268,47
